interest_rate,rate_shock_bp,occupancy_multiplier,net_cashflow,dscr
0.08,300.0,0.06,-0.032,0.6
0.05,0.0,0.08,0.013999999999999999,1.28
0.052500000000000005,25.0,0.08,0.011499999999999996,1.219047619047619
0.055,50.0,0.08,0.009000000000000001,1.1636363636363636
0.0575,75.0,0.08,0.006499999999999999,1.1130434782608696
0.060000000000000005,100.0,0.08,0.003999999999999997,1.0666666666666667
0.0625,125.0,0.08,0.0015000000000000013,1.024
0.065,150.0,0.08,-0.0010000000000000009,0.9846153846153846
0.0675,175.0,0.08,-0.003500000000000003,0.9481481481481481
0.07,200.0,0.08,-0.006000000000000005,0.9142857142857143
0.07250000000000001,225.0,0.08,-0.008500000000000008,0.882758620689655
0.07500000000000001,250.0,0.08,-0.01100000000000001,0.8533333333333333
0.0775,275.0,0.08,-0.013499999999999998,0.8258064516129032
0.08,300.0,0.08,-0.016,0.8
0.05,0.0,0.1,0.03,1.6000000000000003
0.052500000000000005,25.0,0.1,0.027499999999999997,1.523809523809524
0.055,50.0,0.1,0.025,1.4545454545454548
0.0575,75.0,0.1,0.0225,1.3913043478260871
0.060000000000000005,100.0,0.1,0.019999999999999997,1.3333333333333335
0.0625,125.0,0.1,0.0175,1.2800000000000002
0.065,150.0,0.1,0.015,1.230769230769231
0.0675,175.0,0.1,0.012499999999999997,1.1851851851851853
0.07,200.0,0.1,0.009999999999999995,1.142857142857143
0.07250000000000001,225.0,0.1,0.007499999999999993,1.103448275862069
0.07500000000000001,250.0,0.1,0.0049999999999999906,1.0666666666666667
0.0775,275.0,0.1,0.0025000000000000022,1.0322580645161292
0.08,300.0,0.1,0.0,1.0000000000000002
0.05,0.0,0.12,0.046,1.92
0.052500000000000005,25.0,0.12,0.0435,1.8285714285714285
0.055,50.0,0.12,0.041,1.7454545454545456
0.0575,75.0,0.12,0.0385,1.6695652173913043
0.060000000000000005,100.0,0.12,0.036,1.5999999999999999
0.0625,125.0,0.12,0.0335,1.536
0.065,150.0,0.12,0.031,1.476923076923077
0.0675,175.0,0.12,0.028499999999999998,1.422222222222222
0.07,200.0,0.12,0.025999999999999995,1.3714285714285712
0.07250000000000001,225.0,0.12,0.023499999999999993,1.3241379310344825
0.07500000000000001,250.0,0.12,0.02099999999999999,1.2799999999999998
0.0775,275.0,0.12,0.018500000000000003,1.238709677419355
0.08,300.0,0.12,0.016,1.2
0.05,0.0,0.14,0.06200000000000001,2.24
0.052500000000000005,25.0,0.14,0.05950000000000001,2.1333333333333333
0.055,50.0,0.14,0.057000000000000016,2.0363636363636366
0.0575,75.0,0.14,0.054500000000000014,1.947826086956522
0.060000000000000005,100.0,0.14,0.05200000000000001,1.8666666666666667
0.0625,125.0,0.14,0.049500000000000016,1.7920000000000003
0.065,150.0,0.14,0.047000000000000014,1.7230769230769232
0.0675,175.0,0.14,0.04450000000000001,1.6592592592592594
0.07,200.0,0.14,0.04200000000000001,1.6
0.07250000000000001,225.0,0.14,0.03950000000000001,1.5448275862068965
0.07500000000000001,250.0,0.14,0.037000000000000005,1.4933333333333334
0.0775,275.0,0.14,0.03450000000000002,1.4451612903225808
0.08,300.0,0.14,0.032000000000000015,1.4000000000000001
0.05,0.0,0.16,0.078,2.56
0.052500000000000005,25.0,0.16,0.0755,2.438095238095238
0.055,50.0,0.16,0.07300000000000001,2.327272727272727
0.0575,75.0,0.16,0.07050000000000001,2.226086956521739
